child_id,age,age_scaled,S,B,F,U,school_mode,school_start_minute,school_end_minute,school_shift_minutes,school_start,school_end,bedtime_school_minute,bedtime_non_school_minute,bedtime_non_school_delay_minutes,bedtime_school,bedtime_non_school
1,6,-1.5,-0.6364636463709805,1.5320330796287964,1.2819022270597127,0.8598811846127368,morning,490,745,10,08:10,12:25,1343,1406,63,22:23,23:26
2,10,0.5,0.5419522204102933,-0.6599694137918207,1.0740306219719435,1.761661236511811,morning,467,722,-13,07:47,12:02,1355,1361,6,22:35,22:41
3,6,-1.5,-0.3165954511658161,-0.31179485646991756,0.39262084457727114,0.993323775951811,afternoon,773,1028,-7,12:53,17:08,1337,1398,61,22:17,23:18
4,8,-0.5,-0.32238911615896015,0.337769126558826,0.005114312828982818,-0.29152142609843873,afternoon,775,1030,-5,12:55,17:10,1342,1385,43,22:22,23:05
5,7,-1.0,0.09716731867045719,-2.2074710981998042,-0.3617668721609232,0.7281275578891427,morning,488,743,8,08:08,12:23,1331,1374,43,22:11,22:54
6,11,1.0,-1.5259304065189514,0.8279214415587369,-1.230232195490445,-1.2616003169196963,morning,491,746,11,08:11,12:26,1336,1407,71,22:16,23:27
7,12,1.5,1.1921661041016585,1.541630394690618,1.2262292928211507,1.4299385266887068,morning,477,732,-3,07:57,12:12,1335,1336,1,22:15,22:16
8,7,-1.0,-0.6710896751741096,1.126806793265028,-2.1720438866851817,-0.15647532482940535,morning,481,736,1,08:01,12:16,1339,1370,31,22:19,22:50
9,9,0.0,1.0002694196594604,0.7547696443122508,-0.37014734585231535,-0.6737591499870575,afternoon,784,1039,4,13:04,17:19,1348,1419,71,22:28,23:39
10,8,-0.5,0.1363211238531175,-0.14597789311522394,0.16438006967466792,-0.6390601004322052,afternoon,777,1032,-3,12:57,17:12,1336,1397,61,22:16,23:17
